"Flowcell","Lane","Sample","Duplicate read pairs","Fraction"
"A80MP0ABXX","4","96_322","10110936","0.22"
"A80MP0ABXX","4","97_1574","13013990","0.3"
"AD0AP0ACXX","5","96_322","0","0.004"
"AD0AP0ACXX","5","97_1574","0","0.003"
